Freq.	Vriaa
3.38844156139202e+000	3.43944327724607e+001
3.46736850452531e+000	3.45876390961204e+001
3.54813389233575e+000	3.47805401081910e+001
3.63078054770101e+000	3.49731219325542e+001
3.71535229097172e+000	3.51653701252262e+001
3.80189396320560e+000	3.53572696535591e+001
3.89045144994280e+000	3.55488048750603e+001
3.98107170553496e+000	3.57399595158578e+001
4.07380277804112e+000	3.59307166487836e+001
4.16869383470335e+000	3.61210586711929e+001
4.26579518801592e+000	3.63109672824838e+001
4.36515832240165e+000	3.65004234614114e+001
4.46683592150962e+000	3.66894074432116e+001
4.57088189614874e+000	3.68778986965963e+001
4.67735141287197e+000	3.70658759007074e+001
4.78630092322637e+000	3.72533169220617e+001
4.89778819368445e+000	3.74401987915754e+001
5.01187233627271e+000	3.76264976817594e+001
5.12861383991364e+000	3.78121888841526e+001
5.24807460249771e+000	3.79972467871179e+001
5.37031796370252e+000	3.81816448540896e+001
5.49540873857623e+000	3.83653556023701e+001
5.62341325190348e+000	3.85483505826413e+001
5.75439937337156e+000	3.87306003592812e+001
5.88843655355588e+000	3.89120744916435e+001
6.02559586074356e+000	3.90927415164415e+001
6.16595001861481e+000	3.92725689314113e+001
6.30957344480192e+000	3.94515231803718e+001
6.45654229034654e+000	3.96295696399259e+001
6.60693448007594e+000	3.98066726079103e+001
6.76082975391980e+000	3.99827952938357e+001
6.91830970918935e+000	4.01578998114780e+001
7.07945784384136e+000	4.03319471738315e+001
7.24435960074988e+000	4.05048972906209e+001
7.41310241300916e+000	4.06767089686031e+001
7.58577575029182e+000	4.08473399147990e+001
7.76247116628690e+000	4.10167467429640e+001
7.94328234724279e+000	4.11848849833917e+001
8.12830516164097e+000	4.13517090963322e+001
8.31763771102669e+000	4.15171724891847e+001
8.51138038202374e+000	4.16812275376504e+001
8.70963589956078e+000	4.18438256110184e+001
8.91250938133743e+000	4.20049171017533e+001
9.12010839355907e+000	4.21644514595227e+001
9.33254300796988e+000	4.23223772297700e+001
9.54992586021433e+000	4.24786420969555e+001
9.77237220955808e+000	4.26331929325212e+001
9.99999999999997e+000	4.27859758476166e+001
1.02329299228075e+001	4.29369362506135e+001
1.04712854805090e+001	4.30860189093656e+001
1.07151930523760e+001	4.32331680181390e+001
1.09647819614318e+001	4.33783272691520e+001
1.12201845430196e+001	4.35214399285119e+001
1.14815362149688e+001	4.36624489164048e+001
1.17489755493953e+001	4.38012968912828e+001
1.20226443461741e+001	4.39379263377459e+001
1.23026877081238e+001	4.40722796578208e+001
1.25892541179416e+001	4.42042992652308e+001
1.28824955169313e+001	4.43339276822410e+001
1.31825673855640e+001	4.44611076386410e+001
1.34896288259165e+001	4.45857821723107e+001
1.38038426460288e+001	4.47078947309092e+001
1.41253754462275e+001	4.48273892740526e+001
1.44543977074592e+001	4.49442103754316e+001
1.47910838816820e+001	4.50583033242662e+001
1.51356124843620e+001	4.51696142254743e+001
1.54881661891248e+001	4.52780900979331e+001
1.58489319246111e+001	4.53836789702466e+001
1.62181009735892e+001	4.54863299734212e+001
1.65958690743755e+001	4.55859934298714e+001
1.69824365246174e+001	4.56826209382421e+001
1.73780082874937e+001	4.57761654535344e+001
1.77827941003892e+001	4.58665813621338e+001
1.81970085860998e+001	4.59538245513043e+001
1.86208713666286e+001	4.60378524729113e+001
1.90546071796324e+001	4.61186242010431e+001
1.94984459975804e+001	4.61961004834446e+001
1.99526231496887e+001	4.62702437866312e+001
2.04173794466952e+001	4.63410183346980e+001
2.08929613085403e+001	4.64083901419122e+001
2.13796208950222e+001	4.64723270392451e+001
2.18776162394954e+001	4.65327986950920e+001
2.23872113856833e+001	4.65897766305082e+001
2.29086765276776e+001	4.66432342293463e+001
2.34422881531991e+001	4.66931467437592e+001
2.39883291901948e+001	4.67394912955868e+001
2.45470891568502e+001	4.67822468741524e+001
2.51188643150957e+001	4.68213943311122e+001
2.57039578276885e+001	4.68569163729239e+001
2.63026799189537e+001	4.68887975516048e+001
2.69153480392690e+001	4.69170242543617e+001
2.75422870333815e+001	4.69415846927478e+001
2.81838293126444e+001	4.69624688919001e+001
2.88403150312659e+001	4.69796686804297e+001
2.95120922666637e+001	4.69931776814458e+001
3.01995172040200e+001	4.70029913051704e+001
3.09029543251358e+001	4.70091067435196e+001
3.16227766016837e+001	4.70115229669369e+001
3.23593656929627e+001	4.70102407237019e+001
3.31131121482590e+001	4.70052625418750e+001
3.38844156139201e+001	4.69965927338624e+001
3.46736850452530e+001	4.69842374036347e+001
3.54813389233574e+001	4.69682044564001e+001
3.63078054770100e+001	4.69485036105638e+001
3.71535229097171e+001	4.69251464116474e+001
3.80189396320559e+001	4.68981462478172e+001
3.89045144994279e+001	4.68675183665640e+001
3.98107170553495e+001	4.68332798920652e+001
4.07380277804111e+001	4.67954498426561e+001
4.16869383470333e+001	4.67540491478609e+001
4.26579518801591e+001	4.67091006643550e+001
4.36515832240164e+001	4.66606291902598e+001
4.46683592150961e+001	4.66086614771456e+001
4.57088189614873e+001	4.65532262391378e+001
4.67735141287196e+001	4.64943541585580e+001
4.78630092322636e+001	4.64320778875350e+001
4.89778819368444e+001	4.63664320451220e+001
5.01187233627270e+001	4.62974532094324e+001
5.12861383991362e+001	4.62251799044701e+001
5.24807460249770e+001	4.61496525813058e+001
5.37031796370250e+001	4.60709135933875e+001
5.49540873857622e+001	4.59890071658409e+001
5.62341325190346e+001	4.59039793586909e+001
5.75439937337154e+001	4.58158780240037e+001
5.88843655355586e+001	4.57247527570873e+001
6.02559586074355e+001	4.56306548418900e+001
6.16595001861479e+001	4.55336371908866e+001
6.30957344480190e+001	4.54337542797594e+001
6.45654229034652e+001	4.53310620772680e+001
6.60693448007593e+001	4.52256179707728e+001
6.76082975391978e+001	4.51174806878922e+001
6.91830970918933e+001	4.50067102148505e+001
7.07945784384134e+001	4.48933677120613e+001
7.24435960074986e+001	4.47775154275916e+001
7.41310241300914e+001	4.46592166090502e+001
7.58577575029180e+001	4.45385354145724e+001
7.76247116628688e+001	4.44155368234700e+001
7.94328234724277e+001	4.42902865471737e+001
8.12830516164095e+001	4.41628509410186e+001
8.31763771102667e+001	4.40332969174627e+001
8.51138038202372e+001	4.39016918612130e+001
8.70963589956076e+001	4.37681035467970e+001
8.91250938133741e+001	4.36326000589727e+001
9.12010839355905e+001	4.34952497164160e+001
9.33254300796986e+001	4.33561209990074e+001
9.54992586021431e+001	4.32152824790447e+001
9.77237220955805e+001	4.30728027566197e+001
9.99999999999995e+001	4.29287503993579e+001
1.02329299228075e+002	4.27831938867008e+001
1.04712854805089e+002	4.26362015587849e+001
1.07151930523760e+002	4.24878415700305e+001
1.09647819614318e+002	4.23381818474095e+001
1.12201845430196e+002	4.21872900533687e+001
1.14815362149688e+002	4.20352335533385e+001
1.17489755493952e+002	4.18820793877060e+001
1.20226443461741e+002	4.17278942481074e+001
1.23026877081237e+002	4.15727444578545e+001
1.25892541179416e+002	4.14166959562662e+001
1.28824955169313e+002	4.12598142866921e+001
1.31825673855640e+002	4.11021645879388e+001
1.34896288259165e+002	4.09438115888032e+001
1.38038426460288e+002	4.07848196054318e+001
1.41253754462275e+002	4.06252525411623e+001
1.44543977074592e+002	4.04651738884891e+001
1.47910838816820e+002	4.03046467328332e+001
1.51356124843620e+002	4.01437337577415e+001
1.54881661891247e+002	3.99824972511193e+001
1.58489319246110e+002	3.98209991121385e+001
1.62181009735892e+002	3.96593008584407e+001
1.65958690743755e+002	3.94974636332355e+001
1.69824365246173e+002	3.93355482119004e+001
1.73780082874936e+002	3.91736150077156e+001
1.77827941003891e+002	3.90117240763164e+001
1.81970085860997e+002	3.88499351185096e+001
1.86208713666286e+002	3.86883074810638e+001
1.90546071796323e+002	3.85269001550771e+001
1.94984459975803e+002	3.83657717716319e+001
1.99526231496887e+002	3.82049805942938e+001
2.04173794466952e+002	3.80445845081970e+001
2.08929613085403e+002	3.78846410053463e+001
2.13796208950222e+002	3.77252071658713e+001
2.18776162394954e+002	3.75663396349123e+001
2.23872113856832e+002	3.74080945949102e+001
2.29086765276776e+002	3.72505277330584e+001
2.34422881531991e+002	3.70936942037230e+001
2.39883291901947e+002	3.69376485856389e+001
2.45470891568501e+002	3.67824448337933e+001
2.51188643150956e+002	3.66281362258511e+001
2.57039578276885e+002	3.64747753031133e+001
2.63026799189536e+002	3.63224138059828e+001
2.69153480392690e+002	3.61711026039653e+001
2.75422870333815e+002	3.60208916203387e+001
2.81838293126443e+002	3.58718297515918e+001
2.88403150312659e+002	3.57239647818507e+001
2.95120922666637e+002	3.55773432925621e+001
3.01995172040200e+002	3.54320105677215e+001
3.09029543251357e+002	3.52880104950350e+001
3.16227766016836e+002	3.51453854634233e+001
3.23593656929626e+002	3.50041762573944e+001
3.31131121482589e+002	3.48644219487627e+001
3.38844156139200e+002	3.47261597863676e+001
3.46736850452529e+002	3.45894250843702e+001
3.54813389233573e+002	3.44542511098620e+001
3.63078054770099e+002	3.43206689704768e+001
3.71535229097170e+002	3.41887075027523e+001
3.80189396320558e+002	3.40583931620565e+001
3.89045144994278e+002	3.39297499148151e+001
3.98107170553494e+002	3.38027991338979e+001
4.07380277804110e+002	3.36775594979353e+001
4.16869383470332e+002	3.35540468953740e+001
4.26579518801589e+002	3.34322743340342e+001
4.36515832240163e+002	3.33122518569384e+001
4.46683592150960e+002	3.31939864650992e+001
4.57088189614872e+002	3.30774820479477e+001
4.67735141287195e+002	3.29627393220181e+001
4.78630092322635e+002	3.28497557784112e+001
4.89778819368443e+002	3.27385256395507e+001
5.01187233627268e+002	3.26290398256270e+001
5.12861383991361e+002	3.25212859310290e+001
5.24807460249769e+002	3.24152482110575e+001
5.37031796370249e+002	3.23109075790485e+001
5.49540873857620e+002	3.22082416139714e+001
5.62341325190345e+002	3.21072245785237e+001
5.75439937337152e+002	3.20078274476068e+001
5.88843655355584e+002	3.19100179470255e+001
6.02559586074353e+002	3.18137606021407e+001
6.16595001861477e+002	3.17190167962157e+001
6.30957344480188e+002	3.16257448380022e+001
6.45654229034650e+002	3.15339000382209e+001
6.60693448007591e+002	3.14434347943959e+001
6.76082975391976e+002	3.13542986835740e+001
6.91830970918931e+002	3.12664385623690e+001
7.07945784384132e+002	3.11797986737840e+001
7.24435960074984e+002	3.10943207602257e+001
7.41310241300911e+002	3.10099441821812e+001
7.58577575029177e+002	3.09266060419416e+001
7.76247116628685e+002	3.08442413118704e+001
7.94328234724275e+002	3.07627829666548e+001
8.12830516164092e+002	3.06821621190616e+001
8.31763771102664e+002	3.06023081587120e+001
8.51138038202369e+002	3.05231488934273e+001
8.70963589956073e+002	3.04446106927763e+001
8.91250938133738e+002	3.03666186334200e+001
9.12010839355902e+002	3.02890966459522e+001
9.33254300796983e+002	3.02119676629437e+001
9.54992586021428e+002	3.01351537679193e+001
9.77237220955802e+002	3.00585763450604e+001
9.99999999999991e+002	2.99821562294304e+001
1.02329299228075e+003	2.99058138575552e+001
1.04712854805089e+003	2.98294694182051e+001
1.07151930523760e+003	2.97530430032290e+001
1.09647819614318e+003	2.96764547583377e+001
1.12201845430195e+003	2.95996250336716e+001
1.14815362149687e+003	2.95224745340415e+001
1.17489755493952e+003	2.94449244686993e+001
1.20226443461740e+003	2.93668967004531e+001
1.23026877081237e+003	2.92883138939805e+001
1.25892541179416e+003	2.92090996631048e+001
1.28824955169312e+003	2.91291787167987e+001
1.31825673855640e+003	2.90484770036620e+001
1.34896288259164e+003	2.89669218545347e+001
1.38038426460287e+003	2.88844421229325e+001
1.41253754462274e+003	2.88009683228904e+001
1.44543977074591e+003	2.87164327638178e+001
1.47910838816819e+003	2.86307696818852e+001
1.51356124843619e+003	2.85439153674711e+001
1.54881661891247e+003	2.84558082881415e+001
1.58489319246110e+003	2.83663892066137e+001
1.62181009735891e+003	2.82756012931548e+001
1.65958690743754e+003	2.81833902318336e+001
1.69824365246173e+003	2.80897043200502e+001
1.73780082874936e+003	2.79944945607821e+001
1.77827941003891e+003	2.78977147469715e+001
1.81970085860997e+003	2.77993215375381e+001
1.86208713666285e+003	2.76992745244923e+001
1.90546071796323e+003	2.75975362907041e+001
1.94984459975803e+003	2.74940724578978e+001
1.99526231496886e+003	2.73888517245247e+001
2.04173794466951e+003	2.72818458932047e+001
2.08929613085402e+003	2.71730298875354e+001
2.13796208950221e+003	2.70623817580968e+001
2.18776162394953e+003	2.69498826776004e+001
2.23872113856832e+003	2.68355169251939e+001
2.29086765276775e+003	2.67192718600148e+001
2.34422881531990e+003	2.66011378841993e+001
2.39883291901947e+003	2.64811083955810e+001
2.45470891568501e+003	2.63591797304751e+001
2.51188643150955e+003	2.62353510969308e+001
2.57039578276884e+003	2.61096244989892e+001
2.63026799189535e+003	2.59820046524913e+001
2.69153480392689e+003	2.58524988930747e+001
2.75422870333814e+003	2.57211170770270e+001
2.81838293126442e+003	2.55878714757203e+001
2.88403150312658e+003	2.54527766643858e+001
2.95120922666635e+003	2.53158494059932e+001
3.01995172040198e+003	2.51771085310397e+001
3.09029543251356e+003	2.50365748140445e+001
3.16227766016835e+003	2.48942708475402e+001
3.23593656929625e+003	2.47502209143532e+001
3.31131121482588e+003	2.46044508589325e+001
3.38844156139199e+003	2.44569879584698e+001
3.46736850452528e+003	2.43078607945163e+001
3.54813389233572e+003	2.41570991257565e+001
3.63078054770097e+003	2.40047337625782e+001
3.71535229097168e+003	2.38507964439971e+001
3.80189396320557e+003	2.36953197174775e+001
3.89045144994276e+003	2.35383368221084e+001
3.98107170553493e+003	2.33798815755717e+001
4.07380277804108e+003	2.32199882652541e+001
4.16869383470331e+003	2.30586915438204e+001
4.26579518801588e+003	2.28960263295081e+001
4.36515832240161e+003	2.27320277113500e+001
4.46683592150958e+003	2.25667308594809e+001
4.57088189614870e+003	2.24001709406408e+001
4.67735141287193e+003	2.22323830389408e+001
4.78630092322633e+003	2.20634020819230e+001
4.89778819368441e+003	2.18932627718848e+001
5.01187233627267e+003	2.17219995224462e+001
5.12861383991359e+003	2.15496464002624e+001
5.24807460249767e+003	2.13762370717806e+001
5.37031796370247e+003	2.12018047549192e+001
5.49540873857618e+003	2.10263821755129e+001
5.62341325190343e+003	2.08500015283529e+001
5.75439937337150e+003	2.06726944426521e+001
5.88843655355582e+003	2.04944919517298e+001
6.02559586074351e+003	2.03154244667182e+001
6.16595001861475e+003	2.01355217540867e+001
6.30957344480186e+003	1.99548129167601e+001
6.45654229034648e+003	1.97733263786351e+001
6.60693448007588e+003	1.95910898722569e+001
6.76082975391974e+003	1.94081304294631e+001
6.91830970918928e+003	1.92244743747771e+001
7.07945784384129e+003	1.90401473213428e+001
7.24435960074981e+003	1.88551741692068e+001
7.41310241300908e+003	1.86695791057547e+001
7.58577575029174e+003	1.84833856081013e+001
7.76247116628682e+003	1.82966164472748e+001
7.94328234724272e+003	1.81092936940173e+001
8.12830516164089e+003	1.79214387260199e+001
8.31763771102661e+003	1.77330722364758e+001
8.51138038202366e+003	1.75442142437660e+001
8.70963589956070e+003	1.73548841021655e+001
8.91250938133734e+003	1.71651005134372e+001
9.12010839355898e+003	1.69748815391815e+001
9.33254300796979e+003	1.67842446138460e+001
9.54992586021424e+003	1.65932065582792e+001
9.77237220955798e+003	1.64017835937401e+001
9.99999999999987e+003	1.62099913562694e+001
1.02329299228074e+004	1.60178449113404e+001
1.04712854805089e+004	1.58253587687280e+001
1.07151930523759e+004	1.56325468975084e+001
1.09647819614317e+004	1.54394227411402e+001
1.12201845430195e+004	1.52459992325742e+001
1.14815362149687e+004	1.50522888093268e+001
1.17489755493951e+004	1.48583034284887e+001
1.20226443461740e+004	1.46640545816214e+001
1.23026877081237e+004	1.44695533095000e+001
1.25892541179415e+004	1.42748102166815e+001
1.28824955169312e+004	1.40798354858669e+001
1.31825673855639e+004	1.38846388920318e+001
1.34896288259164e+004	1.36892298163031e+001
1.38038426460287e+004	1.34936172595737e+001
1.41253754462274e+004	1.32978098558295e+001
1.44543977074591e+004	1.31018158851820e+001
1.47910838816819e+004	1.29056432865989e+001
1.51356124843619e+004	1.27092996703201e+001
1.54881661891246e+004	1.25127923299568e+001
1.58489319246109e+004	1.23161282542722e+001
1.62181009735891e+004	1.21193141386341e+001
1.65958690743754e+004	1.19223563961446e+001
1.69824365246172e+004	1.17252611684510e+001
1.73780082874935e+004	1.15280343362277e+001
1.77827941003890e+004	1.13306815293430e+001
1.81970085860996e+004	1.11332081367084e+001
1.86208713666284e+004	1.09356193158182e+001
1.90546071796322e+004	1.07379200019835e+001
1.94984459975802e+004	1.05401149172594e+001
1.99526231496885e+004	1.03422085790835e+001
2.04173794466950e+004	1.01442053086287e+001
2.08929613085401e+004	9.94610923886469e+000
2.13796208950220e+004	9.74792432235297e+000
2.18776162394952e+004	9.54965433877326e+000
2.23872113856831e+004	9.35130290219158e+000
2.29086765276774e+004	9.15287346806781e+000
2.34422881531989e+004	8.95436934003233e+000
2.39883291901946e+004	8.75579367641392e+000
2.45470891568500e+004	8.55714949654557e+000
2.50000000000000e+004	8.39937896586500e+000
